,device_id,date,count_wifi,part_of_the_day
60,07048f64-6412-4699-a746-3fc687c33c95,2021-04-28,1,PART_4
61,07048f64-6412-4699-a746-3fc687c33c95,2021-05-05,1,PART_4
62,07048f64-6412-4699-a746-3fc687c33c95,2021-05-09,1,PART_4
63,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-01,10,PART_1
64,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-02,1,PART_1
65,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-03,1,PART_1
66,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-04,47,PART_1
67,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-05,1,PART_1
68,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-06,1,PART_1
69,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-07,1,PART_1
70,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-08,16,PART_1
71,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-09,1,PART_1
72,08541345-26e2-43c7-9391-a48ce61005d1,2021-03-31,142,PART_2
73,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-01,159,PART_2
74,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-02,1,PART_2
75,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-03,1,PART_2
76,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-04,25,PART_2
77,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-05,41,PART_2
78,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-06,54,PART_2
79,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-07,1,PART_2
80,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-08,18,PART_2
81,08541345-26e2-43c7-9391-a48ce61005d1,2021-03-31,365,PART_3
82,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-01,14,PART_3
83,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-02,1,PART_3
84,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-03,1,PART_3
85,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-04,54,PART_3
86,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-05,49,PART_3
87,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-06,47,PART_3
88,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-07,1,PART_3
89,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-08,27,PART_3
90,08541345-26e2-43c7-9391-a48ce61005d1,2021-03-31,12,PART_4
91,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-01,1,PART_4
92,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-02,1,PART_4
93,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-03,1,PART_4
94,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-04,1,PART_4
95,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-05,1,PART_4
96,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-06,1,PART_4
97,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-07,1,PART_4
98,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-08,1,PART_4
99,09d4e452-e73a-4db4-849c-8ce40dd5a30b,2021-04-12,5,PART_1
